Name,Name,List name,Edition,Edition code,Collector's number,Price,Price (total),Foil,QuantityX,Tag,Language,Condition,Rarity,Card Type,CMC,Mana Value,Color,Card Rulings,MultiverseID,Card Text,Power,Toughness,Loyalty,Currency,Scryfall ID,TCGPlayer productID,TCGPlayer Sku,Is Commander?,Artists,Edition code MTGO
"Ajani, Sleeper Agent","Ajani, Sleeper Agent","Dominaria united collectors ","Dominaria United","DMU","376","$5.92","$5.92","","1x","","","","M","Legendary Planeswalker — Ajani","4","{1}{G}{G/W/P}{W}","White/Green","""• A hybrid Phyrexian mana symbol is counted the same way as a normal mana symbol when determining the mana value of a card. Specifically, Ajani’s mana value is always 4, even if you pay {1}{G}{W} and 2 life to cast him.
• Phyrexian is not a color nor a type of mana, and players cannot add Phyrexian mana. It’s just a symbol that gives you another way to pay for a spell or ability.
• Compleated is a replacement effect, and it applies only to a permanent that is entering the battlefield with loyalty counters. Any other replacement effect that would apply to the number of loyalty counters it enters the battlefield with will apply as normal.
• The compleated ability looks only at whether a player chose to pay 2 life for a Phyrexian mana symbol as they were casting the spell. If a player paid life for some other reason while casting the spell, that will not reduce the number of loyalty counters the planeswalker enters the battlefield with.""","577433","""Compleated ({G/W/P} can be paid with {G}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
+1: Reveal the top card of your library. If it's a creature or planeswalker card, put it into your hand. Otherwise, you may put it on the bottom of your library.
−3: Distribute three +1/+1 counters among up to three target creatures. They gain vigilance until end of turn.
−6: You get an emblem with ""Whenever you cast a creature or planeswalker spell, target opponent gets two poison counters.""""","0","0","4","USD","6894a44e-ac13-453f-b45a-ab6bec574197","282751","5742641","","Thomas M. Baxa","dmu"
"Jedit Ojanen, Mercenary","Jedit Ojanen, Mercenary","Dominaria united collectors ","Dominaria United Commander","DMC","56","$0.59","$0.59","Foil","1x","","","","M","Legendary Creature — Cat Mercenary","3","{1}{W}{U}","White/Blue","""""","0","""Whenever Jedit Ojanen, Mercenary or another legendary creature enters the battlefield under your control, you may pay {G}. If you do, create a 2/2 green Cat Warrior creature token with forestwalk. (It can't be blocked as long as defending player controls a Forest.)""","3","3","0","USD","20bec7f2-7f85-4b2a-a1ec-9eb5da6b8812","283104","5759118","","Ilse Gort","dmc"
"Jenson Carthalion, Druid Exile","Jenson Carthalion, Druid Exile","Dominaria united collectors ","Dominaria United Commander","DMC","78","$1.44","$1.44","Foil","1x","","","","M","Legendary Creature — Human Druid","2","{G}{W}","White/Green","""""","580400","""Whenever you cast a multicolored spell, scry 1. If that spell was all colors, create a 4/4 white Angel creature token with flying and vigilance.
{5}, {T}: Add {W}{U}{B}{R}{G}.""","2","2","0","USD","82f47335-2bf7-46c3-941b-00357e5653da","283231","5796077","","Livia Prima","dmc"
"Jodah, the Unifier","Jodah, the Unifier","Dominaria united collectors ","Dominaria United","DMU","343","$8.19","$8.19","Foil","1x","","","","M","Legendary Creature — Human Wizard","5","{W}{U}{B}{R}{G}","White/Blue/Black/Red/Green","""• Both Jodah, the Unifier’s triggered ability and the spell cast with that ability resolve before the spell that caused the ability to trigger, even if the original spell was countered in response.
• You exile the cards face up. All players will be able to see them.
• The legendary nonland card exiled may be cast immediately. If you do not cast it immediately, you don’t get to cast it at a later time.
• The types and mana value of a double-faced card in exile are determined by the characteristics of its front face. The mana value of a split card is the total mana value of both halves of the split card added together.
• If the legendary nonland card exiled this way is a modal double-faced card, and the back face is also a nonland card face, you may cast either face, even if the back face isn’t legendary.
• If you choose not to cast the card, it remains in exile. The rest of the cards will be put on the bottom of your library in a random order.
• If you cast a spell “without paying its mana cost,” you can’t choose to cast it for any alternative costs. You can, however, pay additional costs. If the card has any mandatory additional costs, you must pay those to cast the spell.
• If the card has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.
• The mana value of the spell that caused the ability to trigger is determined only by its mana cost, no matter what the total cost to cast the spell was. If that spell had an {X} in its cost, include the chosen value for X when determining its mana value.
• If you exile your entire library without exiling a legendary nonland card with lesser mana value, you will randomize the exiled cards and they again become your library, ending the effect. You will not continue to exile and shuffle your library forever.""","577848","""Legendary creatures you control get +X/+X, where X is the number of legendary creatures you control.
Whenever you cast a legendary spell from your hand, exile cards from the top of your library until you exile a legendary nonland card with lesser mana value. You may cast that card without paying its mana cost. Put the rest on the bottom of your library in a random order.""","5","5","0","USD","9fb2313a-e002-4b37-9ecb-20bfe1799157","283462","5772115","","Barbara Rosiak","dmu"
"Karn, Living Legacy","Karn, Living Legacy","Dominaria united collectors ","Dominaria United","DMU","372","$1.50","$1.50","","1x","","","","M","Legendary Planeswalker — Karn","4","{4}","","""• For Karn’s second loyalty ability, you don’t choose how much mana to pay until the ability resolves. Once the ability begins to resolve and you have paid, no player may respond until you have finished all the steps of that ability.
• If you don’t pay any mana, you won’t look at any cards or put any into your hand.
• If you look at one or more cards this way, you must put a card into your hand. You can’t choose not to put one into your hand.
• Karn’s emblem has an activated ability that allows you to tap untapped artifacts to pay its cost. Notably, you may tap artifact creatures that entered the battlefield this turn to pay this cost, even if they don’t have haste.
• Powerstone tokens are a new kind of predefined token. Each one has the artifact subtype “Powerstone” and the ability “{T}: Add {C}. This mana can’t be spent to cast a nonartifact spell.”
• You can use the {C} added by a Powerstone token on anything that isn’t a nonartifact spell. This includes paying costs to activate abilities of both artifact and nonartifact permanents, paying ward costs, and so on.
• Although all the cards in the Dominaria United set that create Powerstone tokens create a tapped Powerstone token, entering the battlefield tapped isn’t part of the token’s definition. Notably, if you create a token that is a copy of a Powerstone token, the token copy won’t enter the battlefield tapped.""","577429","""+1: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
−1: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.
−7: You get an emblem with ""Tap an untapped artifact you control: This emblem deals 1 damage to any target.""""","0","0","4","USD","493341c3-1f59-4d7e-b852-1449a2333be9","283123","5760013","","rk post","dmu"
"Serra Paragon","Serra Paragon","Dominaria united collectors ","Dominaria United","DMU","32","$6.00","$6.00","Foil","1x","","","","M","Creature — Angel","4","{2}{W}{W}","White","""""","574512","""Flying
Once during each of your turns, you may play a land from your graveyard or cast a permanent spell with mana value 3 or less from your graveyard. If you do, it gains ""When this permanent is put into a graveyard from the battlefield, exile it and you gain 2 life.""""","3","4","0","USD","ce295f1e-fb31-4275-a5d3-8c6f29afff40","283398","5768543","","Heonhwa Choe","dmu"
"Shanid, Sleepers' Scourge","Shanid, Sleepers' Scourge","Dominaria united collectors ","Dominaria United Commander","DMC","79","$2.67","$2.67","","1x","","","","M","Legendary Creature — Human Knight","4","{1}{R}{W}{B}","White/Black/Red","""• If casting a legendary spell causes Shanid’s last ability to trigger, that ability goes on the stack above the spell that caused it to trigger and resolves first. It resolves even if that spell is countered or otherwise left the stack.
• A legendary land entering the battlefield without being played does not cause Shanid’s last ability to trigger.""","580401","""Menace
Other legendary creatures you control have menace.
Whenever you play a legendary land or cast a legendary spell, you draw a card and you lose 1 life.""","2","4","0","USD","2656728b-33b1-4db7-8ad0-f5053fa00286","283230","5765762","","Ryan Pancoast","dmc"
"Shanna, Purifying Blade","Shanna, Purifying Blade","Dominaria united collectors ","Dominaria United","DMU","317","$0.50","$0.50","","1x","","","","M","Legendary Creature — Human Warrior","3","{G}{W}{U}","White/Blue/Green","""• You choose the value for X as the ability resolves.""","578070","""Lifelink
At the beginning of your end step, you may pay {X}. If you do, draw X cards. X can't be greater than the amount of life you gained this turn.""","3","3","0","USD","9a8d5e4c-bc67-47a1-85d9-cf862a38edf5","283096","5758613","","Jody Clark","dmu"
"Tetsuo, Imperial Champion","Tetsuo, Imperial Champion","Dominaria united collectors ","Dominaria United Commander","DMC","44","$0.78","$0.78","","1x","","","","M","Legendary Creature — Human Samurai","3","{U}{B}{R}","Blue/Black/Red","""• If Tetsuo isn’t equipped when it’s declared as an attacking creature, the ability won’t trigger. If Tetsuo isn’t equipped when the ability resolves, the ability won’t do anything.""","597920","""Whenever Tetsuo, Imperial Champion attacks, if it's equipped, choose one —
• Tetsuo deals damage equal to the highest mana value among Equipment attached to it to any target.
• You may cast an instant or sorcery spell from your hand with mana value less than or equal to the highest mana value among Equipment attached to Tetsuo without paying its mana cost.""","3","3","0","USD","51c523cd-78b0-438f-bba5-19160f648d5f","283110","5784661","","Lius Lasahido","dmc"
"Tetsuo, Imperial Champion","Tetsuo, Imperial Champion","Dominaria united collectors ","Dominaria United Commander","DMC","66","$0.99","$0.99","Foil","1x","","","","M","Legendary Creature — Human Samurai","3","{U}{B}{R}","Blue/Black/Red","""• If Tetsuo isn’t equipped when it’s declared as an attacking creature, the ability won’t trigger. If Tetsuo isn’t equipped when the ability resolves, the ability won’t do anything.""","0","""Whenever Tetsuo, Imperial Champion attacks, if it's equipped, choose one —
• Tetsuo deals damage equal to the highest mana value among Equipment attached to it to any target.
• You may cast an instant or sorcery spell from your hand with mana value less than or equal to the highest mana value among Equipment attached to Tetsuo without paying its mana cost.""","3","3","0","USD","99ff0b85-16dc-4388-852f-e6c3ed10f93f","283111","5759363","","Lius Lasahido","dmc"
